,Name,Distance,Mass,Radius,,Name,Distance,Mass,Radius
0,Sun,0.000015813,1,1
1,Sirius,0008.6,2.1,25.4
2,Canopus,0310,15,"13,500"
3,Alpha Centauri,0004.4,1.1,2
4,Arcturus,0037,1.1,170
5,Vega,0025,2.2,50
6,Capella,0043,2.6,150
7,Rigel,0860,23,"120,000"
8,Procyon,0011.4,1.5,7.7
9,Betelgeuse,0640[1],20,"60,000"
10,Achernar,0144,6.7,"3,000"
11,Hadar,0390,10.5,"42,000"
12,Altair,0017,1.8,10.5
13,Acrux,0320,18,"25,000"
14,Aldebaran,0065,1.5,520
15,Antares,0600,12,"75,000"
16,Spica,0260,11.43,"20,512"
17,Pollux,0034,1.9,43
18,Fomalhaut,0025,1.9,16.6
19,Deneb,"2,600",19,"200,000"
20,Mimosa,0350,16,"34,000"
21,Regulus,0077,3.8,290
22,Adhara,0430,12.5,"39,000"
23,Shaula,0700,14.5,"36,000"
24,Castor,0052,2.8,30
25,Gacrux,0088,1.5,820
26,Bellatrix,0240,8.6,"9,200"
27,Elnath,0130,5.0,700
28,Miaplacidus,0110,3.5,290
29,Alnilam,"2,000",32,"380,000"
30,Gamma Velorum,"01,100",9.0,"170,000"
31,Alnair,0101,4.0,260
32,Alioth,0081,2.9,110
33,Alnitak,01050,33,"120,000"
34,Dubhe,0120,4.25,300
35,Mirfak,0590,8.5,"5,000"
36,Wezen,"1,600",17,"82,000"
37,Sargas,0270,5.7,"1,800"
38,Kaus Australis,0140,3.5,360
39,Avior,0630,9.0,"60,000"
40,Alkaid,0104,6.1,"1,350"
41,Menkalinan,081,2.39,50
42,Atria,0390,7,"5,500"
43,Alhena,0109,2.8,120
44,Peacock,0180,5.9,"2,200"
45,Alsephina[2],0080,2.4,90
46,Mirzam,0500,13.5,"27,000"
47,Polaris,0430,5.4,"2,500"
48,Alphard,0180,3.0,780
49,Mintaka,01200,24,"190,000"
50,Scheat,0196,2.1,"1,500"
51,Almaaz,0653,15,"43,000"
52,Rasalgethi,0360,2.8,"8,300"
53,Tau Ceti,011.9,0.783,0.52
54,Delta Pavonis,019.92,0.991,1.22
55,Ran,010.48,0.82,0.34
56,V382 Carinae,"08,900",20,"212,000"
57,Eta Carinae,"07,500",100,"5,000,000"
58,Delta Cephei,0887,4.5,"2,000"
